Unnamed: 0,acc.date,type,reg,operator,fat,location,dmg
826,2019-08-02,Airbus A330-243,g-mljl,Thomas Cook Airlines,0.0,near SUMRS waypoint,min
827,2019-08-02,Shijiazhuang Y-5B(D),b-50oc,Liaoning Star General Aviation,0.0,"Longmen Farm, Wudalianchi, Heilongjiang Province",sub
828,2019-08-02,Boeing 787-8 Dreamliner,c-ghpu,Air Canada,0.0,"Vancouver International Airport, BC (YVR/CYVR)",min
829,2019-08-02,Airbus A340-313,hb-jmf,Edelweiss Air,0.0,"Vancouver International Airport, BC (YVR/CYVR)",sub
830,2019-08-04,Antonov An-2,rt-15-305,DOSAAF Tajikistan,1.0,near Fakhrabad,w/o
831,2019-08-05,Airbus A320-232,n432ua,United Airlines,0.0,"San Francisco International Airport, CA (SFO)",sub
832,2019-08-06,Cessna 510 Citation Mustang,cc-anr,private,1.0,"0,4 km N of Los Ángeles-María Dolores Airport (LSQ)",w/o
833,2019-08-06,Cessna 208B Supervan 900,c-fskf,Alkan Air,2.0,"46 km ENE of Mayo Airport, YT (YMA)",w/o
834,2019-08-06,Cessna 208B Grand Caravan,5h-now,Tropical Air,0.0,Mafia Airport (MFA),w/o
835,2019-08-06,Ilyushin Il-76TD,ur-coz,SkyAviatrans,0.0,Misrata International Airport (MRA),w/o
836,2019-08-06,Cessna 560XLS+ Citation XLS+,d-cawm,Aerowest,0.0,Aarhus Airport (AAR/EKAH),w/o
837,2019-08-07,British Aerospace 3201 Jetstream 32,hk-4540,SARPA - Servicios Aéreos Panamericanos,0.0,Bahía Solano-José Celestino Mutis Airport (BSC),sub
838,2019-08-07,HS-125/BAe-125,unknown,unknown,0.0,"Las Pilas, Champerico, Retalhuleu",w/o
839,2019-08-08,Airbus A320-232,n505jb,Jetblue Airways,0.0,"Charlottesville, Virginia",non
840,2019-08-08,Bombardier CL-600-2B16 Challenger 604,n237qs,Netjets,0.0,"Lubbock, Texas",non
841,2019-08-08,Airbus A321-211 (WL),n717fr,Frontier Airlines,0.0,"Orlando International Airport, FL (MCO)",sub
842,2019-08-10,Canadair CL-600-2B16 Challenger 601,n602ts,private,0.0,Nassau-Lynden Pindling International Airport (NAS),sub
843,2019-08-12,Boeing 787-9 Dreamliner,g-ckwb,Norwegian Air UK,0.0,London-Gatwick Airport (LGW),min
844,2019-08-14,de Havilland Canada DHC-6 Twin Otter 200,t-82,Fuerza Aérea Argentina - FAA,0.0,54 km from Base Marambio,sub
845,2019-08-14,Beechcraft Super King Air,xb-...,Unknown,0.0,"El Ramonal, Chetumal, Quintana Roo",w/o
846,2019-08-15,Boeing 787-8 Dreamliner,ja808a,All Nippon Airways - ANA,0.0,"Over Chengde, Hebei Province",non
847,2019-08-15,de Havilland Canada DHC-6 Twin Otter 300,n322av,Berry Aviation,0.0,"San Marcos Regional Airport, TX",sub
848,2019-08-15,Cessna 680A Citation Latitude,n8jr,JRM Air LLC,0.0,"Elizabethton Municipal Airport, TN",w/o
849,2019-08-15,Airbus A321-211,vq-boz,Ural Airlines,0.0,ca 5 km SE of Zhukovsky International Airport (ZIA),sub
850,2019-08-16,de Havilland Canada DHC-8-200,5y-slm,SafariLink,0.0,Kichwa Tembo Airstrip,sub
851,2019-08-18,Cessna 208B Grand Caravan EX,n879ma,Mokulele Airlines,0.0,"Kapalua Airport, HI (JHM)",sub
852,2019-08-18,Boeing 757-251 (WL),n543us,Delta Air Lines,0.0,"Ponta Delgada-João Paulo II Airport, Azores (PDL)",sub
853,2019-08-21,Airbus A340-642,g-vfit,Virgin Atlantic Airways,0.0,over Black Sea,non
854,2019-08-21,Cessna 750 Citation X,1060,Fuerza Aérea Venezolana - FAV,0.0,Caracas/La Carlota-Gen. Francisco de Miranda Air Base (SVFM),w/o
855,2019-08-21,Cessna 208B Super Cargomaster,c-fexe,Morningstar Air Express,0.0,"Vancouver International Airport, BC (YVR/CYVR)",sub
856,2019-08-21,Cessna 560XL Citation Excel,n91gy,Delta Private Jets,0.0,"Oroville Airport, CA (OVE)",w/o
857,2019-08-22,Airbus A380-861,a6-eop,Emirates,0.0,Dubai Airport (DXB),sub
858,2019-08-23,Antonov An-2T,ok-tir,Club Tiroler Adler,0.0,Gmunden Airfield,sub
859,2019-08-25,Lockheed C-130A Hercules,n119tg,International Air Response,0.0,"Santa Barbara Airport, CA (SBA)",sub
860,2019-08-26,McDonnell Douglas MD-88,n911dl,Delta Air Lines,0.0,"Chicago-O'Hare International Airport, IL (ORD/KORD)",non
861,2019-08-27,Airbus A320-251N,n328fr,Frontier Airlines,0.0,"near Denver, CO",non
862,2019-08-27,Airbus A330-343,b-5958,Air China,0.0,Beijing-Capital International Airport (PEK),sub
863,2019-08-27,Cessna 560XL Citation Excel,vt-avv,Air Charter Services,0.0,Aligarh Airport,w/o
864,2019-08-28,Cessna 525 CitationJet CJ1+,d-icey,Lenox Handels und Speditions GmbH,0.0,Egelsbach Airfield (EDFE),sub
865,2019-08-28,Antonov An-2R,ra-40389,private,0.0,"Selektsionny, Lgovsky district, Kursk region",sub
866,2019-08-30,Antonov An-2R,ra-33061,private,2.0,Lake Syuryun-Kyuel area,w/o
867,2019-08-31,Cessna 510 Citation Mustang,n551wh,Star Jet LLC,0.0,"El Monte-San Gabriel Valley Airport, CA (EMT)",sub
868,2019-09-01,Airbus A330-202,5a-lau,Libyan Airlines,0.0,Tripoli-Mitiga International Airport (MJI),min
869,2019-09-01,Beechcraft B300 King Air 350,rp-c2296,Lionair Inc.,9.0,"Pansol, Calamba, Laguna",w/o
870,2019-09-02,British Aerospace BAe-125-700A,xb-ptw,private,2.0,near Nueva Cajolá,w/o
871,2019-09-05,Cessna 560XLS+ Citation XLS+,oe-ges,Jet 24 GmbH,0.0,Milano-Malpensa Airport (MXP),sub
872,2019-09-06,Airbus A319-132,n515nk,Spirit Airlines,0.0,"Fort Myers, Florida",non
873,2019-09-07,ATR 72-600 (72-212A),hk-5041,"Regional Express Américas, opf Avianca",0.0,Manizales-La Nubia Airport (MZL),sub
874,2019-09-09,Airbus A319-112,d-aknl,Eurowings,0.0,near Berlin,non
875,2019-09-11,Bombardier CRJ-701ER,n765sk,"Skywest Airlines, opf American Eagle",0.0,"Chicago-O'Hare International Airport, IL (ORD/KORD)",sub
876,2019-09-11,Bombardier CRJ-701ER,n710sk,"Skywest Airlines, opf American Eagle",0.0,"Chicago-O'Hare International Airport, IL (ORD/KORD)",sub
877,2019-09-11,British Aerospace BAe-125-700A,xb-smv,private,0.0,"Chencoh, Hopelchén",unk
878,2019-09-11,Cessna 208 Supervan 900,d-fidi,GoJump,1.0,near Gransee Airfield,w/o
879,2019-09-11,Convair CV-440,n24dr,Ferreteria e Implementos San Francisco,2.0,"1 km ENE of Toledo-Express Airport, OH (TOL)",w/o
880,2019-09-16,Cessna 208B Grand Caravan,pt-mhc,TwoFlex,0.0,"0,6 km W of Manaus-Eduardo Gomes International Airport, AM (MAO/SBEG)",w/o
881,2019-09-18,Britten-Norman BN-2A-21 Islander,v6-03fm,Caroline Islands Air,0.0,"Ta Island Airstrip, Caroline Islands",w/o
882,2019-09-18,Viking Air DHC-6 Twin Otter 400,pk-cdc,"Rimbun Air, opb Carpediem Aviation",4.0,"10 km from Kampung Mamontoga, Hoeya District, Mimika Regency",w/o
883,2019-09-20,Cessna 208B Grand Caravan,n895sf,private,0.0,"Pepperell Airport, MA",sub
884,2019-09-23,Britten-Norman BN-2A-27 Islander,vp-mni,FlyMontserrat,0.0,Montserrat-John A. Osborne Airport (MNI),sub
885,2019-09-23,Cessna 208B Grand Caravan EX,5h-aam,Auric Air,2.0,Seronera Airstrip (SEU),w/o
886,2019-09-24,Cessna 208B Grand Caravan,yvo134,Gobernación del Estado Bolívar,0.0,San Salvador de Paúl Airstrip,sub
887,2019-09-24,Cessna 208 Caravan,1917,Department of Royal Rainmaking and Agricultural Aviation,2.0,Village no.9 Lum Sum Sai Yok District Kanchanaburi Province,w/o
888,2019-09-30,Antonov An-12BK,ur-ckl,Cavok Air,0.0,Liverpool International Airport (LPL),sub
889,2019-09-30,Gulfstream American G-1159 Gulfstream II B,xb-pvo,private,0.0,"Blue Creek, Orange Walk",w/o
890,2019-10-01,Boeing 777-31HER,a6-ebu,Emirates,0.0,near Batam Island,non
891,2019-10-02,Boeing B-17G Flying Fortress,n93012,The Collings Foundation,7.0,"Windsor Locks-Bradley International Airport, CT (BDL)",w/o
892,2019-10-04,Antonov An-12BK,ur-cah,Ukraine Air Alliance,5.0,"1,1 km SE of Lviv-Danylo Halytskyi International Airport (LWO)",sub
893,2019-10-07,Hawker 800XP,n86mn,Delta Private Jets,0.0,"Fort Myers-Southwest Florida International Airport, FL (RSW)",sub
894,2019-10-07,Honda HA-420 HondaJet,n166hj,Pro by Air,0.0,"Charleston International Airport, SC (CHS)",sub
895,2019-10-10,Antonov An-72,ek-72903,Air Force of the Democratic Republic of the Congo,8.0,near Kole,w/o
896,2019-10-11,de Havilland Canada DHC-6 Twin Otter 100,n166dh,Skydive Georgia,0.0,"Cedartown-Polk County Airport, GA",sub
897,2019-10-11,Fokker 50,5y-izo,Silverstone Air Services,0.0,near Nairobi-Wilson Airport (WIL),w/o
898,2019-10-12,Embraer EMB-110P1 Bandeirante,c6-kmc,Pineapple Air,0.0,Nassau-Lynden Pindling International Airport (NAS/MYNN),min
899,2019-10-12,ATR 42-600,ja01jc,Japan Air Commuter,0.0,65 km north-northwest of Tanegashima Airport (TNE/RJFG),non
900,2019-10-16,Bombardier Global Express,n307kp,Elite Air Inc,0.0,"Augusta-Bush Field, GA (AGS/KAGS)",non
901,2019-10-17,Saab 2000,n686pa,PenAir - Peninsula Airways,1.0,"Unalaska-Tom Madsen Airport, AK (DUT)",sub
902,2019-10-18,Airbus CC-150 Polaris (A310-300),15001,Royal Canadian Air Force - RCAF,0.0,"Trenton Canadian Forces Base, ON (YTR)",sub
903,2019-10-18,Douglas DC-3C,n437gb,Atlantic Air Cargo,0.0,"4,6 km NW off Nassau-Lynden Pindling International Airport (NAS)",unk
904,2019-10-22,Canadair CL-600-2B19 Regional Jet CRJ-200LR,n8837b,"Delta Connection, opb Endeavor Air",0.0,"near Atlanta Hartsfield-Jackson International Airport, GA (ATL)",sub
905,2019-10-22,Basler BT-67 Turbo 67 (DC-3T),fas116,Fuerza Aérea Salvadoreña,0.0,San Salvador/Ilopango International Airport (SAL),sub
906,2019-10-25,Rockwell Sabreliner 65,n465bc,private,0.0,"Sipacate, Escuintla",w/o
907,2019-10-25,Beechcraft 200 Super King Air,unknown,private,0.0,"Palajuyú, Sipacate, Escuintla",sub
908,2019-10-26,de Havilland Canada DHC-3T/M601 Turbine Otter,c-gbtu,Blue Water Aviation Services,3.0,"Family Lake, Little Grand Rapids First Nation, MB",w/o
909,2019-10-26,Airbus A330-341,pk-gpe,Garuda Indonesia Airways,0.0,near Banda Aceh (BTJ),non
910,2019-10-27,Gulfstream American G-1159 Gulfstream II SP,(n530ga),private,0.0,"Vista Hermosa, Ixcán",w/o
911,2019-10-27,Let L-410UVP,yi-byo,Abeer Air Services,0.0,Kolnyang County,w/o
912,2019-10-29,de Havilland Canada DHC-8-402Q Dash 8,n402qx,Horizon Air,0.0,"near Boise, ID",sub
913,2019-10-31,Cessna 208B Super Cargomaster,n926fe,"Corporate Air, opf FedEx",0.0,"Honolulu-Daniel K. Inouye International Airport, HI (HNL)",min
914,2019-11-03,Boeing 787-8 Dreamliner,n796av,Avianca,0.0,near Barcelona,non
915,2019-11-05,Learjet 35A,xa-vbd,USMX AirLink,0.0,San Jose Cabo-Los Cabos Airport (SJD),sub
916,2019-11-11,Boeing 747-428ERF,tc-acr,ACT Airlines,0.0,Istanbul-Atatürk Airport (ISL/LTBA),non
917,2019-11-11,British Aerospace BAe-125-700A,(n237dx),private,0.0,Petén,w/o
918,2019-11-11,Embraer EMB-145LR (ERJ-145LR),n619ae,"American Eagle, opb Envoy Air",0.0,"Chicago-O'Hare International Airport, IL (ORD/KORD)",sub
919,2019-11-14,Cessna 550 Citation II,pt-ltj,José João Abdalla Filho,5.0,"Maraú-Barra Grande Airport, BA (SIRI)",w/o
920,2019-11-15,Cessna 560 Citation Encore,n777hw,ETG Aviation LLC,0.0,"San Antonio International Airport, TX (SAT)",sub
921,2019-11-15,Cessna 525B CitationJet CJ3,n973cg,Pilot Point Consultancy LLC,0.0,"San Antonio International Airport, TX (SAT)",sub
922,2019-11-16,Bombardier CRJ-900,unknown,Unknown,0.0,Düsseldorf International Airport (DUS/EDDL),sub
923,2019-11-16,Airbus A330-243,v5-ano,Air Namibia,0.0,Frankfurt International Airport (FRA/EDDF),min
924,2019-11-16,Boeing 777-3B5ER,hl7204,Korean Air,0.0,Frankfurt International Airport (FRA/EDDF),sub
925,2019-11-21,Boeing 737-8F2 (WL),tc-jgz,THY Turkish Airlines,0.0,Odessa-Central Airport (ODS),sub
926,2019-11-21,Gulfstream G150,tc-aeh,Tahe Havacilik,0.0,Odessa-Central Airport (ODS),sub
927,2019-11-22,Boeing 737-401,yv3012,Avior Airlines,0.0,Bogotá-Eldorado Airport (BOG/SKBO),sub
928,2019-11-23,Boeing 737-800,unknown,Unknown,0.0,Nürnberg Airport (NUE/EDDN),non
929,2019-11-23,Beechcraft B200 King Air,(xb-pyb),private,0.0,Saint-Jean du Sud,w/o
930,2019-11-24,Dornier 228-201,9s-gnh,Busy Bee Congo,27.0,1 km S of Goma Airport (GOM),w/o
931,2019-11-25,de Havilland Canada DHC-8-311 Dash 8,9j-pzb,Proflight Air Services,0.0,near Lusaka,sub
932,2019-11-25,McDonnell Douglas MD-88,n975dl,Delta Air Lines,0.0,Atlanta Hartsfield - Jackson (ATL / KATL),sub
933,2019-11-26,Cessna 208B Grand Caravan,unknown,Tropicair,0.0,Gasmata,non
934,2019-12-01,British Aerospace BAe-125-700A,n949cl,private,0.0,"near El Picudo, San Andrés",w/o
935,2019-12-01,Beechcraft B99 Airliner,c6-fer,Flamingo Air Charter,0.0,Black Point Airstrip (MYEB),sub
936,2019-12-02,British Aerospace BAe-125-700A,false reg.,private,0.0,near San Andrés Villa Seca,w/o
937,2019-12-03,British Aerospace BAe-125-800A,n469rj,Business Jet Managers Inc,0.0,"Detroit-Coleman A. Young International Airport, MI (DET)",sub
938,2019-12-03,Basler BT-67 Turbo 67 (DC-3T),c-fkal,North Star Air,0.0,"0,5 km SW of Sachigo Lake Airport, ON (ZPB)",sub
939,2019-12-04,Beechcraft 200 Super King Air,unknown,private,2.0,"Sayaxché, Petén",w/o
940,2019-12-06,British Aerospace BAe-125-800A,(n293wb),private,0.0,"0,4 km NW of Chan Chen, Corozal",w/o
941,2019-12-09,Lockheed C-130H Hercules,990,Fuerza Aérea de Chile,38.0,520 km NW off King George Island,w/o
942,2019-12-09,Cessna 208B Super Cargomaster,n4602b,Martinaire,1.0,"ca 11 km NE of Victoria Regional Airport, TX (VCT)",w/o
943,2019-12-10,de Havilland Canada DHC-8-402Q Dash 8,et-aqc,Ethiopian Airlines,0.0,Juba Airport (JUB),sub
944,2019-12-15,Airbus A330-202,vh-ebc,Qantas,0.0,"69 km south east Bathurst, NSW",non
945,2019-12-15,Embraer EMB-145LR,n648ae,"Piedmont Airlines, opf American Eagle",0.0,"Philadelphia, Pennsylvania",non
946,2019-12-15,Grumman American G-1159 Gulfstream IISP,(xb-bzh),private,0.0,Quiché,w/o
947,2019-12-16,Embraer ERJ-140LR,n805ae,"Envoy Air, opf American Eagle",0.0,"Alexandria, Louisiana",non
948,2019-12-16,Airbus A330-243,ec-lqo,Air Europa,0.0,near Madrid-Barajas Adolfo Suárez Airport (MAD/LEMD),non
949,2019-12-16,Beechcraft 200 Super King Air,unknown,private,0.0,Sarteneja airstrip,w/o
950,2019-12-17,Beechcraft B300 King Air 350,n160rw,Ritch Air LLC,0.0,"Visalia Airport, CA (VIS)",sub
951,2019-12-18,Embraer ERJ-190AR,n959uw,American Airlines,0.0,"Disputanta, Virginia",non
952,2019-12-18,Beechcraft 200 Super King Air,n72mm,WL Aviation LLC,0.0,"Fresno Yosemite International Airport, CA (FAT)",sub
953,2019-12-18,Cessna 525A CitationJet CJ2,c-gojg,C-GHGR Holdings,0.0,"near Scottsbluff, NE",sub
954,2019-12-18,Beechcraft 200 Super King Air,unknown,private,0.0,"El Chico, Retalhuleu",w/o
955,2019-12-19,Boeing 737-924ER (WL),n68802,United Airlines,0.0,"Chicago-O'Hare International Airport, IL (ORD/KORD)",non
956,2019-12-19,Beechcraft A100 King Air,yv1104,Representaciones Aero3,9.0,near Charallave-Óscar Machado Zuloaga Airport,w/o
957,2019-12-21,Boeing 737-7BD (WL),n7739a,Southwest Airlines,0.0,"near Kansas City International Airport, MO (MCI)",sub
958,2019-12-22,Boeing 737-824 (WL),n87513,United Airlines,0.0,"Denver International Airport, CO (DEN/KDEN)",sub
959,2019-12-24,Cessna 208B Grand Caravan,xa-twn,Calafia Airlines,2.0,near Tastiota,w/o
960,2019-12-25,Airbus A320-232 (WL),b-50001,Tigerair Taiwan,0.0,100 km NNE of Miyazaki Airport,non
961,2019-12-27,Cirrus SF50 Vision Jet,n52cv,private,0.0,"Santa Monica Airport, CA (SMO)",sub
962,2019-12-27,Fokker 100,up-f1007,Bek Air,12.0,near Almaty Airport (ALA),w/o
963,2019-12-28,Let L-410UVP-E,9s-gdx,Air Fast Congo,0.0,Kamina Airport (KMN),sub
964,2019-12-29,Cessna 560XL Citation XLS,lv-fqd,Sunny Sky,0.0,"6 km from Otamendi, BA",sub
965,2018-01-01,Airbus A319-111,g-ezii,Easyjet,0.0,80 nm NE of Barcelona Airport (LEBL),non
966,2018-01-03,Airbus A319-131,g-dbca,British Airways,0.0,near Verona Villafranca,non
967,2018-01-04,Gulfstream G150,oe-gka,Private Airlines Germany,1.0,Kittilä Airport (KTT),sub
968,2018-01-05,Boeing 737-8FH (WL),c-fprp,Sunwing Airlines,0.0,"Toronto-Pearson International Airport, ON (YYZ)",sub
969,2018-01-05,Boeing 737-8CT (WL),c-fdmb,WestJet,0.0,"Toronto–Lester B. Pearson International Airport, Ontario (YYZ)",sub
970,2018-01-06,Boeing 777-369ER,9k-aoc,Kuwait Airways,0.0,"New York-John F. Kennedy International Airport, NY (JFK/KJFK)",sub
971,2018-01-06,Antonov An-2TP,yv1944,Unknown,0.0,La Paragua Airport,w/o
972,2018-01-07,Cessna 208B Grand Caravan,5y-fdc,Unknown,1.0,Akobo Airport (HSAK),w/o
973,2018-01-09,Embraer EMB-110P1 Bandeirante,c6-mic,Pineapple Air,0.0,Governor's Harbour Airport (GHB),sub
974,2018-01-10,de Havilland Canada DHC-8-402Q Dash 8,sp-eqg,LOT Polskie Linie Lotnicze,0.0,Warszawa-Frédéric Chopin Airport (WAW/EPWA),sub
975,2018-01-10,Gulfstream G200,rp-c280,Air Taxi PH,0.0,Legazpi-Bicol International Airport (LGP),sub
976,2018-01-10,Fairchild SA227-AT Merlin IVC,n561up,Ameriflight,0.0,"Rock Springs-Sweetwater County Airport, WY (RKS)",sub
977,2018-01-13,Boeing 737-82R (WL),tc-cpf,Pegasus Airlines,0.0,Trabzon Airport (TZX),sub
978,2018-01-15,Airbus A319-111,5a-onc,Afriqiyah Airways,0.0,Tripoli-Mitiga International Airport (MJI),sub
979,2018-01-16,Antonov An-2,unknown,Kazakhstan Air Defence Force,0.0,near Zhetygen Air Base,w/o
980,2018-01-16,British Aerospace BAe-748-347 Srs. 2A,s2-aax,Bismillah Airlines,0.0,Jessore Airport (JSR),sub
981,2018-01-17,Embraer ERJ-190AR,5h-fji,Fastjet,1.0,"Mwanza International Airport (HTMW), Mwanza",non
982,2018-01-17,IPTN/CASA CN-235M-100,98-148,Türk Hava Kuvvetleri (Turkish Air Force),3.0,"Hodulluca Mevkii, Yalvaç district",w/o
983,2018-01-18,Convair CV-580F,xa-trb,Air Tribe,0.0,"Brownsville-South Padre Island International Airport, TX (BRO)",sub
984,2018-01-20,Let L-410UVP,ur-vtv,Galeyr Airline,0.0,Mogadishu Aden Adde International Airport (MGQ),sub
985,2018-01-20,Embraer EMB-120ER Brasilia,5y-cei,"Delegation of the EU to Somalia, lsf AirTraffic Africa",0.0,Mogadishu Aden Adde International Airport (MGQ),unk
986,2018-01-25,Airbus A320,unknown,Unknown,0.0,Berlin-Schönefeld Airport (SXF/EDDB),sub
987,2018-01-25,Gulfstream G200,5n-btf,Nestoil,0.0,Abuja-Nnamdi Azikiwe International Airport (ABV/DNAA),sub
988,2018-01-29,Shaanxi Y-8GX-3,30513,People's Liberation Army - Air Force - PLAAF,12.0,"Zhengchang, Suiyang County, Guizhou Province",w/o
989,2018-02-01,Airbus A330-202,vh-...,Qantas,0.0,"Sydney-Kingsford Smith International Airport, NSW (SYD/YSSY)",non
990,2018-02-04,Raytheon Beechjet 400A,n570tm,"Travel Management, Inc",0.0,"Cleveland-Burke Lakefront Airport, OH (BKL)",sub
991,2018-02-10,Boeing 737-8AS (WL),ei-eki,Ryanair,0.0,Canaries airspace,non
992,2018-02-11,Antonov An-148-100B,ra-61704,Saratov Airlines,71.0,"near Stepanovskoye, Ramenskoye district",w/o
993,2018-02-13,Airbus A330-223,n858nw,Delta Air Lines,0.0,Lagos-Murtala Muhammed International Airport (LOS/DNMM),non
994,2018-02-16,Fokker 100,ep-fqf,Qeshm Air,0.0,Mashhad Airport (MHD),sub
995,2018-02-18,ATR 72-212,ep-ats,Iran Aseman Airlines,66.0,15 km NE of Yasuj Airport (YES),w/o
996,2018-02-20,McDonnell Douglas MD-83,5n-sri,Dana Air,0.0,Port Harcourt Airport (PHC),sub
997,2018-02-21,Cessna 208B Grand Caravan,g-bzah,Army Parachute Association,0.0,Netheravon Airport (EGDN),min
998,2018-02-23,Beechcraft B100 King Air,c-giae,Island Express Air,0.0,"Abbotsford Airport, BC (YXX/CYXX)",sub
999,2018-02-24,Airbus A330-323,n817nw,Delta Air Lines,0.0,"Minneapolis, Minnesota",non
1000,2018-02-26,Beechcraft A100 King Air,c-gjxf,Strait Air,0.0,"Havre-Saint-Pierre Airport, QC (YGV)",sub
1001,2018-02-28,Airbus A320-214,es-san,SmartLynx Airlines Estonia,0.0,Tallinn-Lennart Meri Airport (TLL),sub
1002,2018-03-01,Beechcraft 200 Super King Air,yv1909,Unknown,0.0,Charallave-Óscar Machado Zuloaga Airport (SVCS),sub
1003,2018-03-04,Boeing 737-322 (SF),9s-asg,Serve Air,0.0,Lubumbashi International Airport (FBM),sub
1004,2018-03-06,Antonov An-26,rf-92955/52,Russian Air Force,39.0,"0,5 km from Latakia-Khmeimim Air Base (LTK)",w/o
1005,2018-03-10,Learjet 31,n500mp,N500MP LLC,0.0,"Mount Pleasant Municipal Airport, MI (KMOP)",sub
1006,2018-03-11,Bombardier CL-600-2B16 Challenger 604,tc-trb,MC Aviation,11.0,130 km SW of Shahr-e Kurd,w/o
1007,2018-03-12,de Havilland Canada DHC-8-402Q Dash 8,s2-agu,US-Bangla Airlines,51.0,Kathmandu-Tribhuvan Airport (KTM),w/o
1008,2018-03-14,Boeing 777-31HER,a6-egu,Emirates,1.0,Entebbe Airport (EBB/HUEN),non
1009,2018-03-15,Cessna 208 Caravan I,vh-pga,West Coast Air Services,0.0,"Talbot Bay, WA",w/o
1010,2018-03-15,Beechcraft B200 Super King Air,yv3284 ?,Unknown,0.0,"near Blue Creek, Orange Walk Town",w/o
1011,2018-03-16,Beechcraft C99 Commuter,n213av,Ameriflight,0.0,"Hastings Airport, NE (HSI)",sub
1012,2018-03-17,Canadair CL-600-2B19 Regional Jet CRJ-200ER,c-fdja,"Air Canada Express, opb Jazz Aviation",0.0,"Montreal-Pierre Elliott Trudeau International Airport, QC (YUL)",sub
1013,2018-03-20,de Havilland Canada DHC-6 Twin Otter 300,n716jp,Bald Mountain Air Services,0.0,"225 km N of Deadhorse, AK",sub
1014,2018-03-21,Gulfstream V,n90je,Peyton Holdings LLC,0.0,"Miami, Florida",non
1015,2018-03-22,Airbus A320-232,vh-...,Unknown,0.0,"near Cairns, QLD",non
1016,2018-03-23,Boeing 737-8K5 (WL),ok-tvp,"SmartWings, opf Israir",0.0,Budapest Ferenc Liszt International Airport (BUD/LHBP),non
1017,2018-03-26,CASA C-212 Aviocar 200,n107bh,Bighorn Airways,0.0,"Sheridan Airport, WY (SHR)",sub
1018,2018-03-26,CASA C-212 Aviocar,n217bh,Bighorn Airways,0.0,"Sheridan Airport, WY (SHR)",unk
1019,2018-03-27,Airbus A319-111,g-ezmk,easyJet,0.0,Murcia-San Javier Airport (MJV),sub
1020,2018-03-28,Boeing 767-3Q8ER,4x-eak,El Al Israel Airlines,0.0,Tel Aviv-Ben Gurion International Airport (TLV/LLBG),sub
1021,2018-03-28,Boeing 737-76J (WL),d-ablb,Germania,0.0,Tel Aviv-Ben Gurion International Airport (TLV/LLBG),sub
1022,2018-03-29,Beechcraft 99 Airliner,n31tn,Lake Clark Air,0.0,"Pilot Point Airport, AK (PIP)",sub
1023,2018-03-29,ATR 42-500,xa-uav,Aeromar,0.0,Mexico City-Benito Juárez International Airport (MEX),sub
1024,2018-03-29,ATR 72-600 (72-212A),xa-uyy,Aeromar,0.0,Mexico City-Benito Juárez International Airport (MEX),sub
1025,2018-03-29,Fairchild SA227-DC Metro 23,cp-2459,Línea Aérea Amaszonas,0.0,Riberalta-Capitán Av. Selin Zeitun Lopez Airport (RIB),sub
1026,2018-03-30,Antonov An-12BK,ur-kdm,Cavok Air,0.0,Gao Airport (GAQ),sub
1027,2018-03-30,Cessna 650 Citation III,n126mt,2M Leasing LLC,0.0,"Orlando-Central Florida Regional Airport, FL (SFB)",sub
1028,2018-03-31,Cessna 208B Grand Caravan,n9339b,Skydive the Ranch,0.0,"near Gardiner Airport, NY",sub
1029,2018-04-02,Cessna 525C Citation CJ4,n511ac,Avis Industrial Corporation,2.0,"Marion Municipal Airport, IN (MZZ)",sub
1030,2018-04-04,Dassault Falcon 2000EX,xa-cdt,Unknown,0.0,"Houston-William P. Hobby Airport, TX (HOU)",w/o
1031,2018-04-04,Learjet 60,n759sh,Henning Aviation LLC,0.0,"Houston-William P. Hobby Airport, TX (HOU)",w/o
1032,2018-04-04,Cessna 560XL Citation Excel,n900wl,MTC Enterprises LLC,0.0,"Houston-William P. Hobby Airport, TX (HOU)",w/o
1033,2018-04-04,Learjet 40XR,n626fx,Union Gas Air Ventures I LLC,0.0,"Houston-William P. Hobby Airport, TX (HOU)",w/o
1034,2018-04-04,Learjet 45XR,n618cw,ERG Holdings LLC,0.0,"Houston-William P. Hobby Airport, TX (HOU)",w/o
1035,2018-04-05,Antonov An-26,up-an607,Mega Aircompany,0.0,Wau Airport (WUU),unk
1036,2018-04-09,Beechcraft 200 Super King Air,ln-noa,Airwing,0.0,Stavanger-Sola Airport (SVG),sub
1037,2018-04-09,Boeing 737-9B5,hl7725,Korean Air,0.0,Osaka-Kansai International Airport (KIX),sub
1038,2018-04-11,Cessna 208B Grand Caravan,n814gv,"Hageland Aviation Services, opf Ravn Connect",0.0,"3,2 km N of Atqasuk Airport, AK (ATK)",sub
1039,2018-04-11,Ilyushin Il-76TD,7t-wiv,Al Quwwat al-Jawwiya al-Jaza'eriya,257.0,near Boufarik Air Base,w/o
1040,2018-04-12,Cessna 208B Grand Caravan,5y-sav,Penial Air,0.0,"El Barde, Somalia - Wajir, Kenya",sub
1041,2018-04-13,Lockheed P-3C Orion,158567,United States Navy,0.0,"near Omaha, NE",w/o
1042,2018-04-14,Antonov An-74-200,ek-74036,Ayk Avia,0.0,Akola village,sub
1043,2018-04-15,Saab 340B,c-gtwk,Transwest Air,0.0,"Prince Albert Airport, SK (YPA)",sub
1044,2018-04-15,de Havilland Canada DHC-6 Twin Otter 100,c-fsca,Transwest Air,0.0,"Prince Albert Airport, SK (YPA)",sub
